Плюс очко|Очевидное плюс очко.
Подкрадулепитек|Предмет. Используется только перед броском на ход и если твое место в лидерборде ниже первого. При использовании получаешь дополнительный кубик для броска на ход. Размер кубика зависит от расстояния до ближайшего стримера впереди тебя: 7 и менее - d4; 8-12 - d6; 13-16 - d8; 17-20 - d10; 21-30 - d12; 31 и более - d20.
Кубик квантовой суперпозиции|Предмет. При использовании считается дополнительным кубиком при броске на ход. Используется только перед броском на ход. Представляет из себя d4-кубик в квантовой суперпозиции, который ты можешь бросить и приплюсовать себе полученный результат к своему броску. На этот Кубик не действуют никакие Эффекты, Предметы и глобальные события, влияющие на бросок кубика.
Ездовой дракон Джустара|Предмет. Используется только перед броском на ход. При использовании бросаешь дополнительный d4-кубик на передвижение по карте в фазе хода 1, но делишь значение этого кубика на 2 с округлением ближе к нулю. 1 остается как 1.
Кубик сахара|Съедобный Предмет. Используется только перед броском на ход. При использовании выбираешь - кубик сахара становится дополнительным d6-кубиком или дает плюс 3 очка.
Проклятая маска Пепы|Предмет. При использовании бросаешь два d8-кубика вместо дефолтного. Используется только перед броском на ход. После использования в фазе хода 2, первым делом бросаешь d10-кубик и идешь назад на выпавшее число, а также получаешь столько же минус очков.
Имбовый кубик|Предмет. При использовании бросаешь кубик d10 вместо дефолтного. Если бросаешь дополнительные кубики, то имеешь право заменить любое их количество на d10-кубики. Используется только перед броском на ход.
Тройной d4-кубик|Предмет. При использовании бросаешь три кубика d4 вместо дефолтного. Используется только перед броском на ход.
Кубик Д'Артаньяна|Предмет. Используется только перед броском на ход. При использовании вместо дефолтного кубика кидаешь четыре d4-кубика, затем выбираешь из четырех нужное тебе значение и используешь его как значение своего основного кубика.
Маска Пепы|Предмет. При использовании бросаешь два d6-кубика вместо дефолтного. Используется только перед броском на ход.
d-кубик|Предмет. При использовании брось кубик d6, который будет отвечать за количество граней кубика, который ты будешь бросать вместо дефолтного кубика на передвижение по карте в фазе хода 1. 1 = d4, 2 = d6, 3 = d8, 4 = d10, 5 = d12, 6 = d20. Используется только перед броском на ход.
d4-кубик|Предмет. При использовании бросаешь кубик d4 вместо дефолтного. Используется только перед броском на ход.
d8-кубик|Предмет. При использовании бросаешь кубик d8 вместо дефолтного. Используется только перед броском на ход.
d10-кубик|Предмет. При использовании бросаешь кубик d10 вместо дефолтного. Используется только перед броском на ход.
d12-кубик|Предмет. При использовании бросаешь кубик d12 вместо дефолтного. Используется только перед броском на ход.
Золотой Кубик|Предмет. Используется только перед броском на ход. При использовании заменяет дефолтный кубик на d8. После замены и перед броском кубика, бросаешь монетку на улучшение и повторный бросок или ничего. Улучшение происходит по схеме d8 -> d10 -> d12 -> d20 -> d4 -> d6 -> d8 и т.д. Монетка бросается до тех пор пока не выпадет ничего.
Очконавт|Предмет. При использовании можешь превратить свои 3 плюс очка в дополнительный d6-кубик для броска на ход. Нельзя уходить в минус по очкам или если они уже в минусе. Можно превращать до тех пор, пока есть чем платить. Используется только перед броском на ход.
Мета-кубик|Предмет. Используется только перед броском на ход. При использовании выбираешь какой у тебя будет дополнительный кубик: d4, d6, d8, d10, d12 или d20. В фазе хода 2 получаешь столько минус очков сколько выпало на этом дополнительном кубике.
Энергетик|Съедобный Предмет. При использовании дает плюс 2 очка, но затем в фазе хода 2 дает минус 3 очка. Используется только перед броском на ход.
Улучшенный Энергетик|Съедобный Предмет. При использовании дает плюс 3 очка, но затем в фазе хода 2 дает минус 4 очка. Используется только перед броском на ход.
Редкий Энергетик|Съедобный Предмет. При использовании дает плюс 4 очка, но затем в фазе хода 2 дает минус 6 очка. Используется только перед броском на ход.
Эпический Энергетик|Съедобный Предмет. При использовании дает плюс 6 очков, но затем в фазе хода 2 дает минус 9 очков. Используется только перед броском на ход.
Пустой кубик|Предмет. Используется только после броска на ход. Нельзя использовать если бросаешь только один кубик. При использовании ты отказываешься от любого одного из брошенных кубиков (в том числе дополнительного), аннулируя его очки.
Кубик переброса|Предмет. Используется только после броска на ход. Нельзя использовать если бросаешь только один кубик. При использовании жертвуешь одним любым кубиком, чтобы перебросить все остальные.
Очковый растворитель|Предмет. Используется только после броска на ход. Нельзя использовать если у тебя ноль или отрицательный баланс очков. При использовании ты отказываешься от своего положительного баланса очков, аннулируя эти очки.
Комбо-кубик|Предмет. Используется только если бросаешь больше одного кубика при броске на ход и только после броска этих кубиков. Относится ко всем кубикам, которые ты будешь бросать. При использовании если на двух кубиках есть одинаковое число, кидаешь еще один дополнительный кубик d6 прямо сейчас. Считается только одна пара кубиков.
Навигатор|Предмет. Используется только перед броском на ход. Позволяет во время передвижения по карте, при броске на ход, по твоему желанию, сворачивать в Зоны Обхода и перемещаться по пунктирам с серых клеток. Не дает не переходить по пунктиру если ты в конце хода оказался на серой клетке. Пунктиры считаются дорожками при ходьбе по ним с навигатором, то есть при желании перемещаться по пунктиру, ты считаешь это как одну клетку. Не работает на клетке с кубиками.
Жидкое масло|Предмет. Используется только перед броском на ход. При использовании, в фазе хода 2 получаешь плюс очко за каждые пять пройденных тобой клеток в фазе хода 1.
Кубик слияния|Предмет. Используется перед броском на ход и если бросаешь несколько кубиков с одинаковым количеством граней. При использовании можешь сделать из нескольких кубиков один по следующей схеме: 2d4=1d8; 2d6=1d12; 2d10=1d20; 3d4=1d12; 3d6=1d20; 5d4=1d20.
Кубик добряка|Предмет. Используется перед броском на ход после прохождения игры и если бросаешь два и более кубика. При использовании, после броска на ход, оставляешь себе один любой кубик на свое усмотрение, а оставшиеся кубики с выпавшими на них числами отдаешь в виде плюс очков любому другому стримеру на свой выбор. Например, ты бросил четыре кубика и выпало 3, 4, 6, 4. Ты оставляешь себе кубик со значением 6 и используешь его для хода, а три других кубика (3+4+4=11) не учитываешь и выдаешь плюс 11 очков любому другому стримеру.
Банка маринованных кубов|Предмет. Используется только перед броском на ход. Убирает один любой бросаемый кубик в Банку. При этом Банка не удаляется, а в её примечании указывается тип кубика (например, «Внутри кубик d6»). Если очков больше нуля, то работает даже на единственный кубик, а ты пойдёшь только на свои положительные очки. Применение Банки с примечанием добавляет указанный там кубик к броску на ход.
Флип-Фатум|Предмет. Используется только перед броском на ход. При использовании бросаешь монетку на удвоение одного выбранного кубика или его удаление. Удваивается именно кубик, а не результат его броска. Нельзя использовать если бросаешь только один кубик и при этом у тебя отрицательный баланс очков.
Маринад|Предмет. Используется только перед броском на ход. Ты совершаешь бросок на ход и сохраняешь получившееся число в Маринад. При этом Маринад не удаляется, а в его примечании пишется получившееся число с указанием вперед или назад (например, 36 вперед). Указывать вперед следует если ты прошел игру, указывать назад следует если ты дропнул игру. Ты таким образом не ходишь и остаешься на той же клетке, начиная новый ход. Число в Маринаде означает количество клеток на которые ты сходишь если Маринад с числом внутри уничтожится.
Яйцо Феникса|Предмет. Используется только перед броском на ход. При использовании обнуляет твой баланс очков, а трем ближайшим стримерам впереди и трем ближайшим стримерам позади выдается Бомба, а также они идут на одну клетку назад. Если таких стримеров больше шести - учитываются все.
Кубическое седло|Предмет. Используется только перед броском на ход. При использовании уничтожает один Свиной предмет из твоего инвентаря, выдавая тебе дополнительный d4-кубик при броске на ход. Если в твоем инвентаре помимо Свиного предмета есть Морковка, то она уничтожается тоже, а вместо дополнительного d4-кубика выдается дополнительный d6-кубик при броске на ход. Нельзя использовать если у тебя нет Свиных предметов в инвентаре.
Талисман Морико|Предмет. Используется только перед броском на ход. Прибавляет к результату выпавшего на кубике\кубиках (без учета модификаторов) столько, сколько было использовано кубиков при броске на ход.
Секретный кубик|Предмет. Используется только перед броском на ход. При использовании заменяет один любой кубик на кубик d8.
Клубочек|Предмет. Используется только после броска на ход, но перед самим передвижением. При использовании заменяешь число, выпавшее на любом кубике на максимальное с этого кубика, однако после замены числа сначала идешь назад на то число, которое поменялось, а потом уже делаешь передвижение-ход. Например, у тебя на д6 кубике выпало 3, ты меняешь его на 6 и идешь на три клетки назад, а затем уже идешь вперед на то что у тебя выпало.
Множитель|Предмет. Используется только перед броском на ход. При использовании выбираешь кубик из тех что будешь бросать на ход, и значение этого кубика удвоится. Не работает если рероллишь кубики. Нельзя использовать если бросаешь только один кубик.
Проклятый талисман|Предмет. Используется только перед броском на ход и если у тебя положительный баланс очков. При использовании получаешь минус 15 очков и дополнительный d20-кубик для броска на ход.
Магнитный кубик|Предмет. Используется только перед броском на ход. При использовании получаешь плюс очко за каждого стримера в онлайне, включая себя, на момент использования Магнитного кубика.
Счастливый кубик|Предмет. Используется только перед броском на ход. Дает дополнительный шаг на карте за каждое четное значение у кубиков при броске на ход. Дополнительные шаги считаются вместе с броском на ход.
Средний кубик|Предмет. Используется только перед броском на ход. Делает все твои бросаемые кубики следующими значениями: d4 = 2; d6 = 3; d8 = 4; d10 = 5; d12 = 6; d20 = 10.
Шпилька|Предмет. При использовании позволяет реролльнуть кубик на клетке с кубиками. Может быть использована как в первой, так и во второй фазе хода.
Отмычка|Предмет. При использовании заменяет d6-кубик на клетке с кубиками на кубик d10 со следующими значениями: 7=3, 8=4, 9=5, 10=6. Может быть использована как в первой, так и во второй фазе хода.
Крючок|Предмет. При использовании заменяет d6-кубик на клетке с кубиками на два кубика d4. Если сумма значений равна 7 и более, то Крючок ломается и либо бросается дефолтный d6 либо используются другие Предметы (при их наличии). Может быть использован как в первой, так и во второй фазе хода.
Медвежатник|Предмет. При использование позволяет реролльнуть кубик на клетке с кубиками за минус 5 очков. Можно рероллить кубик сколько тебе угодно, каждый раз отдавая по минус 5 очков. Может быть использован как в первой, так и во второй фазе хода.
Змеиный кубик|Предмет. Используется только перед броском на ход. Работает на дефолтный кубик и на все дополнительные кубики. Если на любых брошенных кубиках присутствует единица, то ты получаешь +1 к броску за каждую единицу. Полученные очки за единицы учитываются сразу же. После этого в фазе хода 2, ты получаешь то количество минус очков, сколько было единиц.
Воздушный Змей|Предмет. Используется только перед броском на ход. При использовании работает как дополнительный кубик в зависимости от твоего места в лидерборде: 1-3: d4; 4-6 - d6; 7-9 - d8; 10-12 - d10; 13-15 - d12; 16 и ниже - d20.
Проклятый Воздушный змей|Предмет. Используется только перед броском на ход. При использовании результат броска на ход умножается на 0 (модификаторы учитываются).
Змей Горыныч|Предмет. При использовании три выбранных тобой Предмета в инвентаре любого другого стримера на твой выбор получают примечания «Невозможно использовать».
Змеиная корона|Предмет. При использовании отдаешь из своего инвентаря все Эффекты в названии которых есть слово Проклятие, Проклятый и прочие однокоренные этому слова любым другим стримерам на свой выбор.
Читерский кубик|Предмет. При использовании вместо броска кубика сам выбираешь его значение. При броске больше одного кубика, выбираешь значение только одного любого кубика. Работает на один любой бросаемый кубик.
Кубик крайности|Предмет. Используется только после броска на ход. При использовании позволяет рероллить один любой из брошенных тобой кубиков. Кубик рероллится до тех пор пока не выпадет самое минимальное или самое максимальное значение, которое затем применяется.
Свиной кубик|Свиной Предмет. Используется только перед броском на ход и если бросаешь два и более кубика. При использовании, после броска на ход, оставляешь себе один любой кубик на свое усмотрение, а оставшиеся кубики с выпавшими на них числами отдаешь в виде минус очков любому другому стримеру на свой выбор. Например, ты бросал четыре кубика и выпало 3 4 6 4, ты оставляешь себе кубик со значением 6, ходишь на это число, а три других кубика (3+4+4=11) не учитываешь и выдаешь кому-то минус 11 очков.
Пятый кубик|Предмет. Используется только перед броском на ход. При использовании на всех кубиках на которых выпало 5, считается что выпало 7.
Двадцатый кубик|Предмет. Используется перед броском на ход. При использовании при выпадении двойки на одном любом кубике, она превращается в 20.
Кубик Романа|Предмет. При использовании значение одного бросаемого кубика становится 1 или 3 на твой выбор.
Кубик льда|Предмет. Используется перед броском на ход. При использовании работает как дополнительный кубик для броска на ход. Размер Кубика льда зависит от общего числа кубиков, бросаемых на ход (не считая сам Кубик льда): 1 - d20; 2 - d12; 3 - d10; 4 - d8; 5 - d6; 6 и более - d4. На Кубик льда не работают Предметы, увеличивающие размер кубиков. Уничтожается если не был использован при броске на ход.
Кубик второго шанса|Предмет. Используется только после броска на ход. При использовании рероллит все кубики значение которых ниже среднего: d4 = 1; d6 = 2 и меньше; d8 = 3 и меньше; d10 = 4 и меньше; d12 = 5 и меньше; d20 = 9 и меньше.
Тостаровские кубики|Предмет. Используется перед броском на ход. При использовании бросаешь три дополнительных d4-кубика для броска на ход, но засчитаются только те на которых выпадет 1 или 3.
Улучшенный Птичкерс|Предмет. При использовании выбираешь стримера, кидаешь d6-кубик, а затем воруешь у выбранного стримера столько очков сколько выпало на кубике и добавляешь их себе. Можно своровать, даже если у жертвы очки уйдут в минус или уже в минусе. Если у цели -30 очков и менее, то вне зависимости от того сколько очков выпало на кубике, ты получаешь плюс очко, а жертва минус очко. Если у цели +20 очков и более, то вне зависимости от того сколько очков выпало на кубике, ты получаешь на одно очко больше, а жертва теряет на одно очко больше.
Редкий Птичкерс|Предмет. При использовании выбираешь стримера, кидаешь d8-кубик, а затем воруешь у выбранного стримера столько очков сколько выпало на кубике и добавляешь их себе. Можно своровать, даже если у жертвы очки уйдут в минус или уже в минусе. Если у цели -30 очков и менее, то вне зависимости от того сколько очков выпало на кубике, ты получаешь плюс очко, а жертва минус очко. Если у цели +20 очков и более, то вне зависимости от того сколько очков выпало на кубике, ты получаешь на одно очко больше, а жертва теряет на одно очко больше.
Эпический Птичкерс|Предмет. При использовании выбираешь стримера, кидаешь d10-кубик, а затем воруешь у выбранного стримера столько очков сколько выпало на кубике и добавляешь их себе. Можно своровать, даже если у жертвы очки уйдут в минус или уже в минусе. Если у цели -30 очков и менее, то вне зависимости от того сколько очков выпало на кубике, ты получаешь плюс очко, а жертва минус очко. Если у цели +20 очков и более, то вне зависимости от того сколько очков выпало на кубике, ты получаешь на одно очко больше, а жертва теряет на одно очко больше.
Двойной Птичкерс|Предмет. При использовании выбираешь стримера, кидаешь два d4-кубика, а затем воруешь у выбранного стримера столько очков сколько выпало на кубике и добавляешь их себе. Можно своровать, даже если у жертвы очки уйдут в минус или уже в минусе. Если у цели -30 очков и менее, то вне зависимости от того сколько очков выпало на кубике, ты получаешь плюс очко, а жертва минус очко. Если у цели +20 очков и более, то вне зависимости от того сколько очков выпало на кубике, ты получаешь на одно очко больше, а жертва теряет на одно очко больше.
Тройной Птичкерс|Предмет. При использовании выбираешь стримера, кидаешь три d4-кубика, а затем воруешь у выбранного стримера столько очков сколько выпало на кубике и добавляешь их себе. Можно своровать, даже если у жертвы очки уйдут в минус или уже в минусе. Если у цели -30 очков и менее, то вне зависимости от того сколько очков выпало на кубике, ты получаешь плюс очко, а жертва минус очко. Если у цели +20 очков и более, то вне зависимости от того сколько очков выпало на кубике, ты получаешь на одно очко больше, а жертва теряет на одно очко больше.
Ночной Птичкерс|Предмет. При использовании выбираешь стримера (он должен быть в оффлайне), кидаешь d6-кубик, а затем воруешь у выбранного стримера столько очков сколько выпало на кубике и добавляешь их себе. Можно своровать, даже если у жертвы очки уйдут в минус или уже в минусе. Если у цели -30 очков и менее, то вне зависимости от того сколько очков выпало на кубике, ты получаешь плюс очко, а жертва минус очко. Если у цели +20 очков и более, то вне зависимости от того сколько очков выпало на кубике, ты получаешь на одно очко больше, а жертва теряет на одно очко больше.
Заблудившийся Птичкерс|Предмет. При использовании рандомно выбираешь стримера, кидаешь d4-кубик, а затем воруешь у выбранного стримера столько очков сколько выпало на кубике и добавляешь их себе. Можно своровать, даже если у жертвы очки уйдут в минус или уже в минусе. Если у цели -30 очков и менее, то вне зависимости от того сколько очков выпало на кубике, ты получаешь плюс очко, а жертва минус очко. Если у цели +20 очков и более, то вне зависимости от того сколько очков выпало на кубике, ты получаешь на одно очко больше, а жертва теряет на одно очко больше.
Золотой Птичкерс|Предмет. При использовании выбираешь стримера и воруешь у выбранного стримера одно очко. Можно своровать, даже если у жертвы очки уйдут в минус или уже в минусе. После добавления очка бросаешь монетку на воровство еще одного очка у того же стримера или ничего до тех пор пока не прокнет «ничего».
Огненный Птичкерс|Предмет. При использовании выбираешь стримера, кидаешь d4-кубик, а затем воруешь у выбранного стримера столько очков сколько выпало на кубике и добавляешь их себе. Можно своровать, даже если у жертвы очки уйдут в минус или уже в минусе. Если у цели -30 очков и менее, то вне зависимости от того сколько очков выпало на кубике, ты получаешь плюс очко, а жертва минус очко. Если у цели +20 очков и более, то вне зависимости от того сколько очков выпало на кубике, ты получаешь на одно очко больше, а жертва теряет на одно очко больше. Кроме этого, жертва идет на столько клеток назад сколько выпало на кубике.
Большой Птичкерс|Предмет. При использовании выбираешь стримера и воруешь у него столько очков сколько стримеров сейчас находится в онлайне. Можно своровать, даже если у жертвы очки уйдут в минус или уже в минусе. Если у цели -30 очков и менее, то вне зависимости от того сколько очков ты воруешь, ты получаешь плюс очко, а жертва минус очко. Если у цели +20 очков и более, то вне зависимости от того сколько очков ты воруешь, ты получаешь на одно очко больше, а жертва теряет на одно очко больше.
Эффектный Птичкерс|Предмет. При использовании выбираешь стримера и воруешь у него столько очков сколько у него Эффектов. Эффект без счетчика считается за три. Можно своровать, даже если у жертвы очки уйдут в минус или уже в минусе. Если у цели -30 очков и менее, то вне зависимости от того сколько очков ты воруешь, ты получаешь плюс очко, а жертва минус очко. Если у цели +20 очков и более, то вне зависимости от того сколько очков ты воруешь, ты получаешь на одно очко больше, а жертва теряет на одно очко больше.
Улучшенный Гремлин|Гремлинский Предмет. При использовании уничтожаешь пять Предметов из инвентарей любых стримеров (включая себя) на свой выбор. Улучшенный Гремлин требует за это плату в четыре очка (можно уходить в минус по очкам). Улучшенного Гремлина можно использовать как угодно - уничтожить пять Предметов у одного стримера, по одному у пяти разных и т.п. Улучшенный Гремлин не может уничтожить Гремлинские предметы.
Редкий Гремлин|Гремлинский предмет. При использовании уничтожаешь все Предметы из инвентаря любого стримера (включая себя) на свой выбор. Редкий Гремлин требует за это плату в 10 очков (можно уходить в минус по очкам). Редкий Гремлин не может уничтожить Гремлинские предметы.
Эпический Гремлин|Гремлинский предмет. При использовании уничтожаешь все Предметы, Эффекты и Спецроллы из инвентаря любого стримера (включая себя) на свой выбор. Эпический Гремлин требует за это плату в 15 очков (можно уходить в минус по очкам). Эпический Гремлин не может уничтожить Гремлинские предметы.
Счастливый Тройной Уникальный Эпический Гремлин|Гремлинский предмет. При использовании уничтожаешь все Предметы, Эффекты и Спецроллы из инвентарей трех любых стримеров (включая себя) на свой выбор. Счастливый Тройной Уникальный Эпический Гремлин требует за это плату в 15 очков (можно уходить в минус по очкам). Уничтожает даже Гремлинские предметы.
Гремлин-Санта|Гремлинский предмет. При использовании уничтожаешь один Предмет из инвентаря любого стримера (включая себя) на свой выбор. Жертве при этом выдается Подарок. Гремлин-Санта требует за это плату в одно очко (можно уходить в минус по очкам). Гремлин-Санта не может уничтожить Гремлинские предметы.
Двойной Гремлин|Гремлинский предмет. При использовании уничтожаешь два Предмета из инвентаря любого стримера (включая себя) на свой выбор. Гремлин требует за это плату в 2 очка (можно уходить в минус по очкам). Двойной Гремлин не может уничтожить Гремлинские предметы.
Золотой Гремлин|Гремлинский предмет. При использовании уничтожаешь один Предмет из инвентаря любого стримера (включая себя) на свой выбор. Золотой Гремлин требует за это плату в одно очко (можно уходить в минус по очкам). После уничтожения и платы, бросаешь монетку на уничтожение еще одного Предмета за минус очко или ничего до тех пор пока не прокнет «ничего». Уничтожает даже Гремлинские Предметы. Если монетка прокнула на использование Золотого Гремлина, а у жертвы закончились уничтожаемые Предметы, выбираешь любого другого стримера.
СпецГремлин|Гремлинский предмет. При использовании уничтожаешь один любой Спецролл из инвентаря любого стримера (включая себя) на свой выбор. СпецГремлин требует за это плату в 2 очка (можно уходить в минус по очкам).
Редкий СпецГремлин|Гремлинский предмет. При использовании уничтожаешь все Спецроллы из инвентаря любого стримера (включая себя) на свой выбор. Редкий СпецГремлин требует за это плату в 5 очков (можно уходить в минус по очкам).
Гремлинизатор|Гремлинский Предмет. При использовании, превращаешь любой свой Предмет в Гремлина. Можно превратить сколько угодно Предметов, но сделать это необходимо за одно действие (нельзя превратить два Предмета, а затем через 5 минут или 5 часов превратить два других Предмета).
Эффектный Гремлин|Гремлинский предмет. При использовании уничтожаешь один любой Эффект из инвентаря любого стримера (включая себя) на свой выбор. Эффектный Гремлин требует за это плату в 2 очка (можно уходить в минус по очкам).
Сытый Гремлин|Гремлинский предмет. При использовании уничтожаешь один любой Предмет из инвентаря любого стримера (включая себя) на свой выбор. Сытый Гремлин не может уничтожить Гремлинские предметы.
Гремлинский ритуал|Гремлинский предмет. Тебе необходимо скооперироваться с двумя другими стримерами в онлайне на твой выбор, чтобы провести древний гремлинский ритуал, выбрав целью любого другого участника. Трое участников ритуала должны находится в одной комнате в дискорде и совершить свое темное действие. У цели уничтожается весь инвентарь (Эффекты, Предметы и Спецроллы), очков становится ноль, а также жертва получает Блокиратор и Легендарную Бомбу Хиган. Использование магии не остается без последствий: у тех кто провел Гремлинский ритуал - минус 10 очков каждому. От платы в минус 10 очков защититься никак нельзя.
Гремлин-следопыт|Гремлинский Предмет. При использовании уничтожаешь один любой Предмет на свой выбор из инвентаря последнего стримера, который делал на тебя крысиное, гремлинское или свиное взаимодействие.
